height,width,label,mar,ratio,area,height_norm,width_norm
15.66,50.41,thanks,0.31065264212155047,3.21902916864437,789.4205999999999,0.3428196147110333,0.5493679163034001
15.48,49.16,thanks,0.31489014819181965,3.1757103891659955,760.9968,0.33887915936952717,0.535745422842197
8.19,48.16,thanks,0.17005813600377626,5.880341162351507,394.43039999999996,0.1792907180385289,0.5248474280732345
12.02,48.88,thanks,0.2459083419413187,4.0665554021168555,587.5376,0.2631348511383538,0.5326939843068875
13.53,48.83,thanks,0.27708375430915927,3.609016732519089,660.6699,0.2961908931698774,0.5321490845684393
12.75,48.78,thanks,0.2613776084178432,3.825882052871996,621.945,0.2791155866900175,0.5316041848299913
15.79,48.41,thanks,0.3261722717171603,3.065864277019362,764.3938999999999,0.34566549912434325,0.527571926765475
14.95,48.39,thanks,0.30894812339433514,3.2367890811512323,723.4304999999999,0.32727670753064797,0.5273539668700958
14.9,49.24,thanks,0.30259950644598893,3.3046977647853852,733.676,0.3261821366024518,0.536617262423714
15.26,49.74,thanks,0.30679532957789846,3.259501752326229,759.0324,0.3340630472854641,0.5420662598081953
20.71,53.82,thanks,0.38480118199923485,2.598744442359032,1114.6122,0.4533712784588442,0.5865300784655623
6.44,52.97,thanks,0.12157824954543613,8.225154002305278,341.1268,0.14098073555166377,0.5772667829119441
9.5,54.73,thanks,0.17357938655985045,5.761052025152418,519.935,0.20796847635726795,0.5964472537053181
18.78,57.47,thanks,0.32677918345607826,3.060170231087847,1079.2866000000001,0.4111208406304729,0.6263077593722755
17.58,59.3,thanks,0.29645867965499695,3.3731511164305394,1042.494,0.3848511383537653,0.6462510897994769
17.56,59.11,thanks,0.29707324823087045,3.366172929033432,1037.9715999999999,0.38441330998248685,0.6441804707933739
17.2,59.9,thanks,0.28714523727637337,3.482557937060585,1030.28,0.3765323992994746,0.6527898866608544
17.42,61.61,thanks,0.2827463028283347,3.536739176995454,1073.2462,0.3813485113835377,0.6714254577157802
15.86,63.03,thanks,0.2516262057492273,3.9741485514408232,999.6558,0.3471978984238179,0.686900610287707
15.51,61.79,thanks,0.25101148647011673,3.983881110001218,958.3629,0.33953590192644484,0.6733870967741935
15.78,62.97,thanks,0.25059551769738736,3.9904940436949277,993.6665999999999,0.345446584938704,0.6862467306015693
14.18,63.59,thanks,0.22299103281976673,4.484484874154805,901.7062000000001,0.3104203152364273,0.6930034873583261
10.68,61.69,thanks,0.1731236801244338,5.776216687620161,658.8492,0.23380035026269702,0.6722972972972973
16.75,60.28,thanks,0.27786993566904555,3.5988057552951784,1009.69,0.3666812609457093,0.6569311246730601
17.09,57.85,thanks,0.295419182447378,3.385020281742523,988.6565,0.3741243432574431,0.6304489973844812
18.0,57.35,thanks,0.31386224387336975,3.186110934104948,1032.3,0.39404553415061294,0.625
20.96,57.33,thanks,0.365602644939776,2.7352097931674715,1201.6368,0.4588441330998249,0.6247820401046207
